Day,단어,뜻,외움,,
day1,resume,이력서,,[|?pl?k?nt],
day1,applicant,"지원자, 신청자",,,
day1,requirement,"필요조건, 요건",,,
day1,meet,"(필요,요구 등을)만족시키다",,,
day1,qualified,"자격있는, 적격의",,,
day1,candidate,"후보자, 지원자",,,
day1,confidence,"확신, 자신, 신임",,,
day1,highly,"매우, 대단히",,,
day1,professional,"전문적인, 직업의, 전문가",,,
day1,interview,"면접, 면접을 보다",,,
day1,hire,고용하다,,,
day1,training,"교육, 훈련",,,
day1,reference,"추천서, 참고",,,
day1,position,"일자리, 직책, 두다",,,
day1,achievement,"성취, 달성",,,
day1,impressed,"인상 깊게 생각하는, 감명을 받은",,,
day1,excellent,훌륭한,,,
day1,eligible,"자격이 있는, 적격의",,,
day1,identify,"알아보다, 확인하다",,,
day1,associate,관련시키다,,,
day1,condition,조건,,,
day1,employment,고용,,,
day1,lack,"~이 없다, 부족",,,
day1,managerial,관리의,,,
day1,diligent,성실한,,,
day1,familiar,"익숙한, 친숙한",,,
day1,proficiency,"숙달, 능숙",,,
day1,prospective,"장래의, 미래의",,,
day1,appeal,"관심을 끌다, 매력적이다",,,
day1,specialize,"~을 전공하다, 전문적으로 다루다",,,
day1,apprehensive,"걱정하는, 염려하는",,,
day1,consultant,"고문, 컨설턴트",,,
day1,entitle,자격을 주다,,,
day1,degree,학위,,,
day1,payroll,"임금대장, 금료명부",,,
day1,recruit,(신입사원등을)모집하다,,,
day1,certification,"증명서, 증명",,,
day1,occupation,직업,,,
day1,wage,"임금, 급료",,,
day2,attire,"복장, 옷차림새",,,
day2,code,"규범, 관례;암호",,,
day2,concern,"우려, 걱정, 문제, 일, ~을 걱정스럽게 하다; 영향을 미치다, 관련되다.",,,
day2,policy,"규정; 보험, 증권",,,
day2,comply,"준수하다, 따르다",,,
day2,regulation,규정,,,
day2,exception,예외,,,
day2,adhere,"지키다, 고수하다",,,
day2,severely,"엄격하게, 심하게",,,
day2,refrain,"자제하다, 삼가다",,,
day2,permission,"허락, 허가",,,
day2,access,"이용권한, 접근;통로, ~에 접근하다, 도달하다",,,
day2,thoroughly,"철저하게, 완전히, 대단히",,,
day2,revise,"(의견, 계획을)수정하다, 변경하다",,,
day2,approach,"접근법, 처리방법",,,
day2,approval,"승인, 인가",,,
day2,form,"종류, 유형, 양식",,,
day2,immediately,"즉시, 곧",,,
day2,inspection,"점검, 검사",,"(instruct 지시하다, 가르치다)",
day2,arrangement,"준비, 마련, 주선",,,
day2,procedure,절차,,,
day2,negative,"부정적인, 비관적인",,,
day2,mandate,"명령하다, 지시하다, 권한, 지시, 명령",,,
day2,effect,"(법률등의)효력, 효과, 영향, 결과로서 ~을 가져오다",,,
day2,drastically,"심하게, 과감하게, 철저하게",,,
day2,according to,~에 따라,,,
day2,enable,(무엇을)가능하게 하다,,,
day2,standard,"기준, 표준",,,
day2,constant,"지속적인, 끊임없이 계속하는",,,
day2,act,"법령, 결의서; 행위, 행동, 결정하다, 판결을 내리다, 행동하다",,,
day2,compensation,"보상금, 보상",,,
day2,ban,"금지, 금지하다",,,
day2,obligation,"의무, 책임",,,
day2,authorize,"~을 인가하다, 권한을 부여하다.",,,
day2,prohibit,금지하다,,,
day2,abolish,"(제도, 법률등을)폐지하다",,,
day2,enforce,"(법률을)시행하다, 집행하다",,,
day2,habit,"습관, 버릇",,,
day2,lagislation,"법률, 법규",,,
day2,restrict,"한정하다, 제한하다",,,
day3,accustomed,익숙한,,,
day3,corporatiion,"주식회사, 법인",,,
day3,demanding,"요구가 많은, 힘든",,,
day3,colleague,동료,,,
day3,division,부서,,,
day3,request,"요청, 요청하다",,,
day3,efficiently,효율적으로,,,
day3,manage,~을 경영하다; 가까스로 하다,,,
day3,submit,제출하다,,,
day3,directly,곧바로,,,
day3,remind,"~에게 상기시키다, 일깨우다",,,
day3,instruct,"지시하다, 가르치다",,,
day3,deadline,"마감일, 마감 시간",,,
day3,sample,"견본, 샘플, 표본
시식하다, (견본으로 질을)시험하다",,,
day3,notify,"~에게 통지하다, 알리다",,,
day3,perform,"행하다, 실행하다",,,
day3,monitor,"감독하다, 감시하다, 실행하다",,,
day3,deserve,"~할 만하다, ~할 가치가 있다",,,
day3,assignment,"일, 임무, 과제",,,
day3,entire,전체의,,,
day3,release,"발표하다, 공개하다, 출시, 발매",,,
day3,extension,"연장, 연기; (전화의)내선",,,
day3,electronically,"컴퓨터 통신망으로, 컴퓨터로",,,
day3,attendance,"출석, 출근",,,
day3,absolutely,"절대적으로, 완전히",,,
day3,delegate,(권한등을)위임하다. 대표,,,
day3,attentively,"주의 깊게, 조심스럽게",,,
day3,supervision,감독,,,
day3,workshop,"워크숍, 연수",,,
day3,draw,"끌다, 끌어당기다",,,
day3,revision,"수정, 개정",,,
day3,reluctantly,"마지못해, 꺼려하여",,,
day3,acquaint,"~에게 숙지시키다, 잘 알게 하다",,,
day3,convey,(용건을)전달하다,,,
day3,check,"검사하다, 조사하다, 확인하다",,,
day3,headquarters,본부,,,
day3,file,"(서류를)정리하다, 철하다;
(서류, 신청, 고소 등을)정식으로 제기하다, 제출하다",,,
day3,oversee,"감독하다 (foresee예견하다, oversea해외의)",,,
day3,involved,"관여하는, 관계된, 연루된",,,
day3,concentrate,"집중하다, 집중시키다",,,
day4,lax,"(행동 등이)느슨한, 규율에 못 미치는",,,
day4,procrastinate,"미루다, 꾸물거리다",,,
day4,combined,"결합된, 합동의",,,
day4,accomplish,성취하다,,,
day4,voluntarily,자발적으로,,,
day4,undertake,(일을)떠맡다,,,
day4,assume,"(증거는 없으나)사실이라고 생각하다;
(책임,역할을)맡다",,,
day4,occasionally,"가끔, 때때로",,,
day4,employee,"직원, 고용인",,,
day4,assist,"돕다, 조력하다",,,
day4,satisfied,"만족하는, 만족스러워하는",,,
day4,manner,"방식, 태도",,,
day4,responsible,"책임이 있는, 책임져야 할",,,
day4,conduct,(업무 등을)수행하다,,,
day4,adjust,적응하다,,,
day4,personnel,"(집합적)직원, 인원; 인사과",,,
day4,agree,동의하다,,,
day4,supervise,"감독하다, 지도하다",,,
day4,coworker,"동료, 협력자",,,
day4,direct,"~에게 길을 안내하다, 가르쳐 주다",,,
day4,confidential,"기밀의, 내밀한",,,
day4,assign,"배정하다, 할당하다",,,
day4,leading,"선도적인, 일류의, 가장 중요한, 선두적인",,,
day4,formal,격식을 갖춘,,,
day4,remove,"해임하다, 제거하다",,,
day4,collect,모으다,,,
day4,coordinate,조정하다,,,
day4,hardly,거의~하지않다,,,
day4,abstract,"추상적인, 막연한",,,
day4,directory,주소록,,,
day4,accountable,책임이 있는,,,
day4,skillfully,"능숙하게, 솜씨있게",,,
day4,exclusive,"독점적인, 배타적인",,,
day4,intention,"의지, 의향",,,
day4,transform,"바꾸다, 변모시키다",,,
day4,respectful,"정중한, 존중하는",,,
day4,duplicate,사본,,,
day4,contrary,반대,,,
day4,disturbing,"충격적인, 불안감을 주는, 방해하는",,,
day4,engage,"관여하다, 종사하다",,,
day4,foster,"촉진하다, 육성하다",,,
day4,neutrality,"중립성, 중립",,,
day4,widely,널리,,,
day5,sophisticated,"(기계가)정교한, 복잡한; 세련된",,,
day5,timely,"시기적절한, 때를 맞춘",,,
day5,realistically,현실적으로,,,
day5,promptly,즉시; 정각에,,,
day5,accessible,출입할 수 있는; 이용할 수 있는,,,
day5,implement,"실시하다, 실행하다",,,
day5,feedback,"의견, 반응",,,
day5,outstanding,우수한; (부채 등이)미지불된,,,
day5,inform,~에게 알리다,,,
day5,replacement,"교체, 후임자",,,
day5,announcement,"공고, 발표",,,
day5,department,"(조직, 기구의)부서",,,
day5,permanently,"영구적으로, 불변으로",,,
day5,fulfill,"(조건을)만족시키다, (약속, 의무등을)지키다, 이행하다",,,
day5,outline,"개요, 설명하다, 약술하다",,,
day5,explain,설명하다,,,
day5,contain,포함하다,,,
day5,compile,(자료 등을)편집하다; 모으다,,,
day5,subsequent,"차후의, 그 다음의",,,
day5,overview,"개요, 개관",,,
day5,provider,"공급자, 제공자",,,
day5,matter,"문제, 일",,,
day5,expertise,"전문지식, 전문기술",,,
day5,demonstrate,"증명하다; (모형, 실험등으로)설명하다",,,
day5,remainder,나머지,,,
day5,essential,"필수적인, 극히 중요한, 본질적인",,,
day5,divide,"분배하다, 나누다",,,
day5,major,"주요한, 중대한",,,
day5,compliance,"(명령, 법규에의)준수",,,
day5,clarify,명확하게 하다,,,
